Time,Ti:Saph Power,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Chilled Water,689nm Heat Pipe,461nm Heat Pipe,Z Coil,Science Table Temperature,Science Table Humidity
2019-04-09 16:28:41.065393,0.562255859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,409.8388671875,1069.677734375,409.8388671875,409.8388671875,0.0,0.0
2019-04-09 16:28:43.985067,0.562255859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,409.8388671875,1069.677734375,409.8388671875,409.8388671875,0.0,0.0
2019-04-09 16:28:44.516102,0.562255859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,409.8388671875,1069.677734375,409.8388671875,409.8388671875,0.0,0.0
2019-04-09 16:28:45.727321,0.562255859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,409.8388671875,1069.677734375,409.8388671875,409.8388671875,0.0,0.0
2019-04-09 16:28:46.513814,0.562255859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,409.8388671875,1069.677734375,409.8388671875,409.8388671875,0.0,0.0
2019-04-09 16:28:47.726080,0.562255859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,409.8388671875,1069.677734375,409.8388671875,409.8388671875,0.0,0.0
2019-04-09 16:28:47.994710,0.562255859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,409.8388671875,1069.677734375,409.8388671875,409.8388671875,0.0,0.0
2019-04-09 16:28:48.247815,0.562255859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,409.8388671875,1069.677734375,409.8388671875,409.8388671875,0.0,0.0
2019-04-09 16:28:48.511439,0.562255859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,409.8388671875,1069.677734375,409.8388671875,409.8388671875,0.0,0.0
2019-04-09 16:28:48.651252,0.562255859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,409.8388671875,1069.677734375,409.8388671875,409.8388671875,0.0,0.0
2019-04-09 16:28:48.811212,0.562255859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,0.999755859375,409.8388671875,1069.677734375,409.8388671875,409.8388671875,0.0,0.0
